year,decade,is_recession,notes
1974,1970,FALSE,
1975,1970,FALSE,
1976,1970,FALSE,
1977,1970,FALSE,
1978,1970,FALSE,
1979,1970,FALSE,
1980,1980,TRUE,Oil crisis
1981,1980,TRUE,Oil crisis
1982,1980,FALSE,
1983,1980,FALSE,
1984,1980,FALSE,
1985,1980,FALSE,
1986,1980,FALSE,
1987,1980,FALSE,
1988,1980,FALSE,
1989,1980,FALSE,
1990,1990,FALSE,
1991,1990,TRUE,Early 90s recession
1992,1990,FALSE,
1993,1990,FALSE,
1994,1990,FALSE,
1995,1990,FALSE,
1996,1990,FALSE,
1997,1990,FALSE,
1998,1990,FALSE,
1999,1990,FALSE,
2000,2000,FALSE,
2001,2000,FALSE,
2002,2000,FALSE,
2003,2000,FALSE,
2004,2000,FALSE,
2005,2000,FALSE,
2006,2000,FALSE,
2007,2000,FALSE,
2008,2000,TRUE,Global Financial Crisis
2009,2000,TRUE,Global Financial Crisis
2010,2010,FALSE,
2011,2010,FALSE,
2012,2010,FALSE,
2013,2010,FALSE,
2014,2010,FALSE,
2015,2010,FALSE,
2016,2010,FALSE,
2017,2010,FALSE,
2018,2010,FALSE,
2019,2010,FALSE,
2020,2020,TRUE,COVID-19 Pandemic
2021,2020,FALSE,
2022,2020,FALSE,
2023,2020,FALSE,